Área;Casos desnutrición aguda (moderada severa);Proporción desnutrición aguda (moderada severa);Casos Retraso en talla;Proporción Retraso en talla;Casos desnutrición global;Proporción desnutrición global;Casos Exceso de peso;Proporción exceso de peso;Total población ;Año
Antonio Nariño;70;3;273;11,6;138;5,9;103;4,4;2.349;2021
Puente Aranda;184;3,2;570;10;271;4,8;276;4,9;5.676;2021
Candelaria;50;3,1;146;9,2;82;5,1;64;4;1.594;2021
Rafael Uribe Uribe;269;2,8;1.125;11,8;533;5,6;424;4,5;9.519;2021
Ciudad Bolívar;633;3;2.624;12,5;1.306;6,2;889;4,2;20.994;2021
Sumapaz;6;2,8;23;10,8;11;5,2;13;6,1;212;2021
Distrito;5395;2,8;20982;13,8;10325;5,4;8521;4,5;191400;2021
Usaquén;209;2,0;1460;13,8;647;6,1;443;4,2;10613;2022
Chapinero;91;2,6;528;14,8;268;7,5;133;3,7;3557;2022
Santa Fe;188;2,7;1020;14,7;483;7;250;3,6;6929;2022
San Cristóbal;297;2,5;1877;15,9;872;7,4;427;3,6;11837;2022
Usme;270;2,2;2015;16,5;896;7,4;493;4;12176;2022
Tunjuelito;98;1,8;683;12,8;313;5,9;214;4;5344;2022
Bosa;555;2,7;3151;15,2;1398;6,8;1130;5,5;20690;2022
Kennedy;845;2,8;4162;13,8;1806;6;1786;5,9;30083;2022
Fontibón;249;2,2;1412;12,3;669;5,8;464;4,1;11436;2022
Engativá;539;2,7;2316;11,5;1190;5,9;704;3,5;20161;2022
Suba;660;2,2;3581;12,1;1822;6,2;917;3,1;29604;2022
Barrios Unidos;70;2,0;509;14,3;239;6,7;118;3,3;3566;2022
Teusaquillo;88;2,3;450;11,7;217;5,7;142;3,7;3834;2022
Los Mártires;86;2,2;539;13,5;255;6,4;149;3,7;3979;2022
Antonio Nariño;51;1,9;340;12,7;166;6,2;113;4,2;2683;2022
Puente Aranda;172;2,2;1015;12,9;417;5,3;371;4,7;7888;2022
Candelaria;43;2,2;258;13,5;128;6,7;68;3,6;1915;2022
Rafael Uribe Uribe;274;2,3;1594;13,5;758;6,4;460;3,9;11776;2022
Ciudad Bolívar;478;2,0;3852;15,7;1602;6,5;978;4;24466;2022
Sumapaz;9;3,5;32;12,5;21;8,2;10;3,9;257;2022
Distrito;5564;2,4;32418;13,8;14907;6,4;9926;4,2;234410;2022
Usaquén;183;1,8;1480;14,7;662;6,6;352;3,5;10100;2023
Chapinero;77;1,9;675;16,5;278;6,8;134;3,3;4092;2023
Santa Fe;131;1,8;1081;15,3;463;6,5;261;3,7;7082;2023
San Cristóbal;202;1,7;2037;17,3;821;7,0;393;3,3;11793;2023
Usme;197;1,5;2429;18,9;919;7,1;434;3,4;12860;2023
Tunjuelito;76;1,4;780;14,3;316;5,8;189;3,5;5453;2023
